answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01927558 0.98072442],[0. 1.],[0.47743497 0.52256503],[0.22437159 0.77562841],[0. 1.],[0. 1.],[0.01180855 0.98819145],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.02529341 0.97470659]
" there be a legal method of insert the unite country and this mayor promote refuge city etc , show her complete neglect for the constitution and american citizen",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97795509 0.02204491],[1. 0.],[0.47793455 0.52206545],[0.86530221 0.13469779],[1. 0.],[1. 0.],[0.99237162 0.00762838],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.98163763 0.01836237]
i would like to see the commuter cars china has that are small battery powered cars promoted ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97794012 0.02205988],[1. 0.],[0.47744558 0.52255442],[0.83720385 0.16279615],[1. 0.],[1. 0.],[0.9783521 0.0216479],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.95001917 0.04998083]
" what do you beggarly by `` promote   volunteer tax bonus again , your language be therefore fabulously fuzzed i see this a more of the same government palaver design to make information technology expression like person be cause something , to make information technology possible to own meet , committee , and document publish , to catch promotion , and to achieve absolutely nothing for the people",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97794576 0.02205424],[1. 0.],[0.47743612 0.52256388],[0.6614427 0.3385573],[1. 0.],[1. 0.],[0.9846906 0.0153094],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96584532 0.03415468]
low income neighborhoods should not be the only focus of tree planting and cool roof pavements  this is a city wide proplemsand all areas of tucson need to be implemented with these infrastructures  why would this include only low income areas ,1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.01917541 0.98082459],[0.66666667 0.33333333],[0.47743612 0.52256388],[0.22895897 0.77104103],[0. 1.],[0. 1.],[0.01536209 0.98463791],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.0368012 0.9631988]
"explain why things are being changed, to create buy in from the community  ",1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.01920191 0.98079809],[0.66666667 0.33333333],[0.47737641 0.52262359],[0.17097625 0.82902375],[0. 1.],[0. 1.],[0.03454949 0.96545051],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.03479785 0.96520215]
"4  buses    fix the shade structures at bus stops  have you looked at those upside down umbrellas at bus stops along the expanded grant road project west of first euclid  whenever i pass them, there is no shade under them  stop installing non functioning architectural wonders by bus stops and put in real shade structures instead ",1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.0191941 0.9808059],[0.66666667 0.33333333],[0.47743612 0.52256388],[0.26956439 0.73043561],[0. 1.],[0. 1.],[0.00871858 0.99128142],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.02193211 0.97806789]
stop planting palo verde trees in the city because many people are allergic to them ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97792187 0.02207813],[0.66666667 0.33333333],[0.47744525 0.52255475],[0.87572446 0.12427554],[1. 0.],[1. 0.],[0.97911002 0.02088998],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.95491482 0.04508518]
 all build with water system catch gutter and container to dense water planted area get rid of the heating system bubble of black mariner and asphalt,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97793624 0.02206376],[1. 0.],[0.47743612 0.52256388],[0.87867143 0.12132857],[1. 0.],[1. 0.],[0.98963956 0.01036044],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.97531101 0.02468899]
"sadly, the whole country is polarized with some people rejecting climate science  the city s effort will need to be nuanced and inclusive  good luck   ",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97790297 0.02209703],[1. 0.],[0.47743987 0.52256013],[0.90868511 0.09131489],[1. 0.],[1. 0.],[0.98484946 0.01515054],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96611338 0.03388662]
