answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
"native landscaping uses much less water, and still provides cooling effects, co2 exchange and shade ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02551019 0.97448981],[0. 1.],[0.3519401 0.6480599],[0.21655587 0.78344413],[0. 1.],[0. 1.],[0.0309619 0.9690381],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.05357798 0.94642202]
i would like to see the commuter cars china has that are small battery powered cars promoted ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.978825 0.021175],[1. 0.],[0.37932504 0.62067496],[0.85189548 0.14810452],[1. 0.],[1. 0.],[0.97523834 0.02476166],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.94286816 0.05713184]
my natural gas bill is consistently the most inexpensive bill i get  why aren t there more questions on affordability ,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,[0.98042208 0.01957792],[0.66666667 0.33333333],[0.35200413 0.64799587],[0.65770335 0.34229665],[1. 0.],[1. 0.],[0.94758992 0.05241008],[1.00000000e+00 2.22044605e-16],[0. 1.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.90663013 0.09336987]
legalize and promote humanure  composting of human waste on site rather than flushing 10 gallons of precious drinking water a day! ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01359865 0.98640135],[0. 1.],[0.35464733 0.64535267],[0.12702664 0.87297336],[0. 1.],[0. 1.],[0.00859481 0.99140519],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.01759351 0.98240649]
programs that help residents and commercial owners reduce water use ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97707864 0.02292136],[1. 0.],[0.67216996 0.32783004],[0.86066351 0.13933649],[1. 0.],[1. 0.],[0.97259377 0.02740623],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.93272065 0.06727935]
water is a much bigger problem than this survey really allowed for  please take into account the reality of our overuse of water and the decreasing availability of it there wont be more for us to take eg from the colorado,1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.0298626 0.9701374],[0.66666667 0.33333333],[0.35200421 0.64799579],[0.22443439 0.77556561],[0. 1.],[0. 1.],[0.02115406 0.97884594],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04134705 0.95865295]
"hiring and training landscape crews that know how to properly prune native trees and shrubs, maintain native landscape and identify native plants ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02536128 0.97463872],[0. 1.],[0.33627034 0.66372966],[0.13660545 0.86339455],[0. 1.],[0. 1.],[0.02634218 0.97365782],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.05472776 0.94527224]
i don t see how a massive tree planting program for the city can ever be successful until a solution for this problem is found ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97691528 0.02308472],[1. 0.],[0.36872089 0.63127911],[0.888559 0.111441],[1. 0.],[1. 0.],[0.96948018 0.03051982],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.92052668 0.07947332]
maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02953554 0.97046446],[0. 1.],[0.35150696 0.64849304],[0.21220103 0.78779897],[0. 1.],[0. 1.],[0.02821685 0.97178315],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.05399646 0.94600354]
"have more programs like las milpitas that s through the food bank  while there are community gardens around town, they are expensive and not very accessible ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01364889 0.98635111],[0. 1.],[0.29687745 0.70312255],[0.22419795 0.77580205],[0. 1.],[0. 1.],[0.00778694 0.99221306],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.0133001 0.9866999]
