answer,sentiment,lgr,lgr_proba
work hoa requir plant either reduc requir number plant and/or promot desert plant use much water,1,1,[0.14011247 0.85988753]
legal method_act enter unit state mayor encourag refug citi etc show complet disregard constitut american citizen,-1,-1,[0.88138613 0.11861387]
would like see commut car china small batteri power car promot,-1,-1,[0.52512965 0.47487035]
intend `` promot `` extend tax bonus lyric embodi fabul fuzzi iodin see angstrom govern grandios plan information_technolog look like person someth make information_technolog possibl experi meet committe paper write draw promot achiev absolut noth peopl,-1,-1,[0.91479834 0.08520166]
low incom neighborhood focus tree-plant cool roof/pav citi wide proplemsand area tucson need implement infrastructur would includ low incom area,1,1,[0.42543057 0.57456943]
explain thing chang creat buy-in communiti,1,1,[0.2348499 0.7651501]
. buse -- fix shade structur bus stop look upside-down umbrella bus stop along expand grant road project west first/euclid whenev pass shade stop instal non-funct architectur wonder bus stop put real shade structur instead,1,-1,[0.57326897 0.42673103]
stop plant palo verd tree citi mani peopl allerg,-1,1,[0.36290867 0.63709133]
build water captur gutter contain bore water plant sphere get rid heat bubbl black pitch asphalt,-1,-1,[0.56170804 0.43829196]
sad whole countri polar peopl reject climat scienc citi 's effort need nuanc inclus good luck,-1,1,[0.38852498 0.61147502]
tree want excess much water solut impact gutter line food wast equal necessit inch garbag advertis disloc drivel indiana landfil one put_opt solar gore lightweight spars angstrom nibbl tinfoil cheap gore becom avail,-1,-1,[0.81704363 0.18295637]
equiti tackl climat resili challeng unit effect front addit strong encourag implement food wast reduct plan simultan reduc demand landfil feed need,1,1,[0.35232751 0.64767249]
leav benefit histor depriv group beggar racial equiti environ indecipher constitut enforc operating_room information_technolog would affect decis exist made,-1,-1,[0.81629224 0.18370776]
program serv resid commerci owner reduc water use,-1,1,[0.41373007 0.58626993]
stop implant palo verd tree indiana citi mani peopl exist allerg,-1,1,[0.45057379 0.54942621]
sad unharm nation polar peopl refus climat skill citi 's feat indig embodi nuanc inclus good luck,-1,1,[0.46317929 0.53682071]
tree plant green space restrict new develop requir new water use,1,1,[0.20067733 0.79932267]
thank progress polici one big reason decid move famili tucson,1,-1,[0.57643815 0.42356185]
web_sit make information_technolog look adenin compost cat partner citi somehow special peopl take neutral somewher oregon earli approxim elabor advertis information_technolog indium water bill hypertext_transfer_protocol //sustainability.arizona.edu/projects/compost-cat,-1,-1,[0.77306136 0.22693864]
best way govern facilit equiti societi provid excel public educ everi one k- also communiti colleg subsid govern societi type worker need present futur whether construct occup comput tech medic role young peopl may find product way make live,1,1,[0.3902761 0.6097239]
n't use styrofoam cup contain -- drown lid plastic contain wish knew place give plastic contain away -- way need store food keep leftov etc put reusabl plastic contain recycl seem terribl wast,1,1,[0.42317285 0.57682715]
would like make green space facin home take respons hand,1,1,[0.23269094 0.76730906]
alreadi solar panel sever citrus tree mani rose bush,1,-1,[0.52892247 0.47107753]
race climat chang look forward sun heat get nice tan,-1,-1,[0.6438097 0.3561903]
thank implement appreci look forward get involv,1,-1,[0.68202408 0.31797592]
mayb start drought adapt nativ street tree water citi expens charg low incom resid low water fee plant desert tree,1,1,[0.48425376 0.51574624]
citi tucson must provid support legal citizen support program refuge illeg immigr,-1,-1,[0.6815708 0.3184292]
feel whole survey mayor 's attempt give govern much space live benefici tucsonan issu address govern,-1,1,[0.43468309 0.56531691]
thank survey,1,1,[0.45872652 0.54127348]
induct green infrastructur volit result indium job help economi,-1,1,[0.34927855 0.65072145]
live barrio viejo would love see need sidewalks/walk path shade communiti garden rentabl plot like citi would welcom,1,1,[0.32143615 0.67856385]
support human develop segreg develop one planet anyon tri put us human kind self stop mad bash come togeth great tucson futur,1,1,[0.45389956 0.54610044]
resourc use cost resourc use topic world_health_organ habit information_technolog information_technolog constitut imper afford fair opportun underrepres group arsenic major group,-1,-1,[0.80941667 0.19058333]
grass orpin tree,-1,-1,[0.69583142 0.30416858]
n't see massiv tree plant program citi ever success solut problem found,-1,-1,[0.78998602 0.21001398]
natur gas bill consist inexpens bill get n't question afford,-1,-1,[0.68593162 0.31406838]
place close could take compost wast food wast yard wast place open sever day week -- would collect compost wast take think ua compost cat place one take compost -- look shut,1,1,[0.41316211 0.58683789]
