answer,sentiment,nearest_neighbors,linear_svm,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,stochastic_gradient_descent,max_voting
work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1
" there exist a legal method of record the unite state and this mayor encourage refuge city etc , show her accomplished neglect for the fundamental law and american english citizen",-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
i would like to see the commuter cars china has that are small battery powered cars promoted ,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
" what do you intend by `` promote   volunteer tax bonus again , your terminology be so incredibly bleary one see this ampere more of the lapp politics rhetoric design to do information technology look like person constitute act something , to do information technology possible to consume meet , committee , and paper spell , to experience promotion , and to carry through absolutely nothing for the people",-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
low income neighborhoods should not be the only focus of tree planting and cool roof pavements  this is a city wide proplemsand all areas of tucson need to be implemented with these infrastructures  why would this include only low income areas ,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1
"explain why things are being changed, to create buy in from the community  ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4  buses    fix the shade structures at bus stops  have you looked at those upside down umbrellas at bus stops along the expanded grant road project west of first euclid  whenever i pass them, there is no shade under them  stop installing non functioning architectural wonders by bus stops and put in real shade structures instead ",1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1
stop planting palo verde trees in the city because many people are allergic to them ,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
 all build with urine capture gutter and container to dull water system planted area scram rid of the heat house of cards of total darkness mariner and asphalt,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
"sadly, the whole country is polarized with some people rejecting climate science  the city s effort will need to be nuanced and inclusive  good luck   ",-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
" tree necessitate excessively much urine and the root impact gutter line food and waste be necessitate in our garbage to promote the breakdown of drivel indiana our landfill one will invest solar control panel indium when the lightweight , vitamin a dilute vitamin a a piece of tinfoil , cheap panel become available",-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
"in equity can we all tackle climate and resilience challenges in a united and effective front  in addition, i strongly encourage implementing food waste reduction plans to simultaneously reduce demands on landfills while feeding those in need ",1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1
 what dress put up benefit to historically deprived group mean racial fairness for the environment unclear of how this exist enforced oregon how information technology would impact any decision constitute draw,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
 program that assistant house physician and commercial owner reduce water use,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
 check plant palo verde tree indium the city because many multitude equal allergic to them,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
" deplorably , the hale area be polarize with some people reject climate skill the city randomness effort will want to be nuanced and inclusive thoroughly luck",-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
"tree planting, green space, restrict new development that requires new water use",1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1
thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1
 this web site make information technology spirit vitamin a if compost cat be now partner with the city somehow and that some special people can take their waste to somewhere operating room early what about expand this and advertise information technology in the body of water bill,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
"the best way a government can facilitate equity in a society is by providing an excellent public education to every one  not only k 12 but also community college  they should be subsidized by the government so that the society will have the types of workers it will need in the present and future, whether it is a construction occupation, a computer tech, or a medical role, and so that young people may find productive ways to make a living ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
