answer,sentiment,decision_tree,max_entrophy,naive_bayes,max_voting
planting shade trees along city walks to reduce temp  changing roads from black asphalt to something lighter and less heat retaining ,pos,pos,pos,pos,pos
tucson for the most part is not walkable  what can be done to encourage less personal auto use while also looking at safety  i am astounded at the number of accidents with pedestrian involvement disgraceful ,neg,neg,neg,neg,neg
"tree planting, green space, restrict new development that requires new water use",pos,pos,pos,pos,pos
"truly, it seems that vehicle pollution in tucson is a major problem affected the quality of air we breathe on a daily basis ",pos,pos,pos,pos,pos
"encouraging and promoting alternative forms of ""green"" transportation throughout the city, and effectively marketing these alternatives, will help people to reach destinations, without polluting the environment ",pos,pos,pos,pos,pos
more walkable spaces  completely close some streets to cars  make bicycle and walking spaces the priority over vehicle traffic in many areas ,pos,pos,pos,pos,pos
"support green job industries and training programs through adult education programs and jted cte, community college, and university courses ",pos,pos,pos,pos,pos
insulation community or city large scale solar rather than only on rooftops water efficiency programs to save on energy emissions for pumping and pools pretty much everything proposed by project drawdown  drawdown org ,pos,pos,pos,pos,pos
fix all the streets and roads and then you can work on other stuff ,pos,pos,pos,pos,pos
take care of the parks and recreation areas that you do not maintain ,pos,pos,pos,pos,pos
stop doing feel good stuff and hire more police to take care of the poor service in tucson ,pos,neu,pos,pos,pos
"this is where all our money should go, improving tucson s quality of life ",pos,pos,pos,pos,pos
"rain water catchment throughout urban landscape, in parks  to use for plant watering , at city buildings  for indoor water use , at golf courses, riverways ",pos,pos,pos,pos,pos
along major road corridors we could add solar roof tunnels to catch sun and divert rain to catchment sources  control personal home water use allowances ,pos,pos,pos,pos,pos
fine for grass or landscaping water use incl at golf courses  we don t have enough water and need to be aggressive about protecting its usage  ,neu,neu,neu,neu,neu
"aside from vehicular emissions, heating cooling residences will be a huge opportunity to reduce energy consumption  we need to create strong incentives for people to have energy efficiency work done on existing structures ",pos,pos,pos,pos,pos
i think there should be state tax credits available for this work   similar to credits available in other states or at the federal level for electric vehicle purchase or installation of charger infrastructure ,neu,neu,neu,neu,neu
what does your race have to do with climate change  i look forward to the sun and heat so i can get a nice tan,neg,neg,neg,pos,neg
mismanagement of our national forests is a huge cause for the increase of wildfires ,neg,neg,neg,pos,neg
we have got to stop wasting water  tucson will be a ghost town if we run out of water  let s start with changing our toilet habits to dry composting  or flush toilets with waste water from sink showers ,pos,pos,pos,pos,pos
all buildings with water catching gutters and containers to slow water planted areas  get rid of the heat bubble of black tar and asphalt ,neu,neu,neu,neu,neu
investing in a green infrastructure will result in jobs which will help the economy ,neu,neu,neu,neu,neu
more abundant public education on climate change and economic and quality of life co benefits of mitigating and adapting to climate change ,pos,pos,pos,pos,pos
"more robust public awareness campaigns during extreme heat season  better drought emergency preparednes, put in mandatory measures at lower drought stages, to better prepare tucson residents for potential water shortages ",pos,pos,pos,pos,pos
far more extensive public involvement in climate change planning  enhanced city county cooperation and coordination on climate planning  don t count on tree planting as a panacea ,pos,pos,pos,pos,pos
what does provide benefits to historically disadvantaged groups mean  racial equity for the environment  unclear of how this is implemented or how it would impact any decisions being made ,neu,neu,neu,neu,neu
need residential solar subsidies and more smaller housing options around 1100 1500 sq feet  not multi family ,pos,pos,pos,pos,pos
the city needs more open green spaces where trees can grow  our green space % is awful  this greening would reduce the heat island effect  the domino of lowering our cooling energy needs which lowers polluting emissions from power ,pos,pos,pos,pos,pos
"water is the  1 long term concern, but not due to this  we need a state wide solution  look to israel  we need to take phoenix s waste water, treat it and have farmers irrigate with that instead of the potable water they steal ",pos,pos,pos,pos,pos
"have a volunteer base who can help teach these strategies, so they can apply them within the community ",pos,pos,pos,pos,pos
"have a volunteer group receiving az benefits such as unemployment, be required to learn and implement some of these strategies within our city ",pos,pos,pos,pos,pos
"explain why things are being changed, to create buy in from the community  ",pos,pos,pos,pos,pos
"a resource used is a resource used, no matter who uses it  it is imperative that we are affording the same equities and opportunities to underrepresented groups as to majority groups ",neu,neu,neu,neu,neu
"in equity can we all tackle climate and resilience challenges in a united and effective front  in addition, i strongly encourage implementing food waste reduction plans to simultaneously reduce demands on landfills while feeding those in need ",pos,pos,pos,pos,pos
"also, i support tree planting re greening but must emphasize it be planned in collaboration with ecologists botanists so that a  appropriate species and b  appropriate localities for growth be maximized ",pos,pos,pos,pos,pos
the city of tucson must provide support to their legal citizens before supporting programs for refugees and illegal immigrants,neu,neu,neu,neu,neu
"our homelessness issues are more complex than supporting affordable housing  increased mental health public health options for the homeless need to be available  also, public showers, places where people can get clean clothes, counciling, etc ",pos,pos,pos,pos,pos
"step 1  transparency, honesty and equity in the bid and contracting process for all departments  ",pos,pos,pos,pos,pos
reverse descrimation is still descrimination and just as wrong as any descriminating!,pos,neu,neu,pos,neu
"have more programs like las milpitas that s through the food bank  while there are community gardens around town, they are expensive and not very accessible ",pos,pos,pos,pos,pos
promoting local food production for individual households will improve food security and reduce our community s carbon footprint  ,pos,pos,pos,pos,pos
"the city should be careful of trying to solve all problems for the disadvantaged  many services are successfully provided by ngos non profits  it is not the city s role to be a social service agency, nor to play robin hood ",neu,neu,neu,neu,neu
"i support human development, not segregated development  we are all one on this planet and anyone trying to put us against each other is not for human kind but for him or her self  we have to stop the madness of bashing each other and come together for a great tucson future ",pos,pos,pos,pos,pos
affordability  we need to protect the most vulnerable populations by providing affordable essential services  you cannot just charge people so much for energy  rooftop solar is great  it s also very expensive ,pos,pos,pos,pos,pos
my natural gas bill is consistently the most inexpensive bill i get  why aren t there more questions on affordability ,neu,pos,pos,pos,pos
low income neighborhoods should not be the only focus of tree planting and cool roof pavements  this is a city wide proplemsand all areas of tucson need to be implemented with these infrastructures  why would this include only low income areas ,pos,pos,pos,pos,pos
stop planting palo verde trees in the city because many people are allergic to them ,neg,neg,neg,pos,neg
"what do you mean by ""promote""  offering tax incentives  again, your language is so incredibly fuzzy  i see this as more of the same government rhetoric designed to make it look like someone is doing something, to make it possible to have meetings, committees, and papers written, to get publicity, and to accomplish absolutely nothing for the people ",neg,neg,neg,neg,neg
work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,pos,pos,pos,pos,pos
more regulation on golf courses that are using large amounts of water  reduce cost of solar panels  work with hoas to promote use of solar panels ,pos,pos,pos,pos,pos
china changes out electric car batteries at changing stations which eliminates waiting long periods to charge and the need for a huge number of charging stations  roller shields and solar tube lighting should be promoted ,pos,pos,pos,pos,pos
"the best way a government can facilitate equity in a society is by providing an excellent public education to every one  not only k 12 but also community college  they should be subsidized by the government so that the society will have the types of workers it will need in the present and future, whether it is a construction occupation, a computer tech, or a medical role, and so that young people may find productive ways to make a living ",pos,pos,pos,pos,pos
it seems to me that the reason some parts of town are so barren is that the residents are low income and do not have the disposable income to use to pay for more than the bare minimum of water,pos,pos,pos,pos,pos
i don t see how a massive tree planting program for the city can ever be successful until a solution for this problem is found ,neu,pos,pos,pos,pos
maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,pos,pos,pos,pos,pos
no grass orpine trees,neu,pos,pos,pos,pos
legalize and promote humanure  composting of human waste on site rather than flushing 10 gallons of precious drinking water a day! ,pos,pos,pos,pos,pos
"green buildings  living walls, rooftop gardens, local energy production, local water and energy reuse ",pos,pos,pos,pos,pos
"please discourage planting green grass in a desert and stop planting new green grass in unnecessary places  green grass is awful, non native and uses so much water ",pos,pos,pos,pos,pos
"native landscaping uses much less water, and still provides cooling effects, co2 exchange and shade ",pos,pos,pos,pos,pos
"1  recycling and composting  i do recycle plastic  as allowed , newspapers, office paper, mailings, cardboard  i also am collecting glass to take to the ward 6 office for recycling  and i take my grocery store plastic bags back to the grocery store in case they really do recycle them ",pos,pos,pos,pos,pos
"i do not compost because i don t have a use for it  i m concerned that a city wide compost pick up system would end up with a lot of non compostable waste, cause problems with some of our urban wildlife such as javelinas, and not be picked up often enough  ",pos,pos,pos,pos,pos
"if there was a place close to me that i could take compostable waste  food waste, yard waste  and that place was open several days a week    i would collect my compostable waste and take it there  i think the ua compost cats had a place that one can take compost    but it looks as if is shut down ",pos,pos,pos,pos,pos
this website makes it look as if compost cats is now partnering with the city somehow and that some special people can take their waste to someplace or other  what about expanding this  and advertising it in the water bill   ,neu,neu,neu,neu,neu
"2  restaurants and take out    it would be great if the city would encourage restaurants and take out places to use compostable containers  during this pandemic, i am trying to support the local restaurants that i used to go to for sit down dining, coffee, etc   and want to continue to go to!  however, the containers the food comes in is often styrofoam or plastic containers ",pos,pos,pos,pos,pos
"i don t have a use for the styrofoam cups and containers    and i am drowning in lidded plastic containers  i wish i knew of a place to give the plastic containers away    i have way more than i need to store food, keep leftovers, etc  and putting those reusable plastic containers into the recycle seems a terrible waste ",pos,pos,pos,pos,pos
3  e scooters litter the landscape and sidewalks and are not a good solution for many of us  expand the light rail  improve the bus service and advertise it ,neu,neu,neu,neu,neu
"4  buses    fix the shade structures at bus stops  have you looked at those upside down umbrellas at bus stops along the expanded grant road project west of first euclid  whenever i pass them, there is no shade under them  stop installing non functioning architectural wonders by bus stops and put in real shade structures instead ",pos,pos,pos,pos,pos
"those blue coated metal shade structures do provide shade for much of the day  think about revising those or re orienting them so they offer shade throughout the day  if you want to increase bus ridership, do something so people don t bake in our desert sun while they wait for the bus ",pos,pos,pos,pos,pos
i feel this whole survey and the mayor s attempts to give government too much space in our lives is not at all beneficial to tucsonans  most of these issues should not be addressed by government ,neu,neu,neu,neu,neu
i believe that climate change is a farce  whatever happened to the science   and i resent the mayor s attempts to make everything into a race issue  america is not a communist country and this is what this mayor wants for us ,neg,neg,neg,neg,neg
"there is a legal method of entering the united states and this mayor encourages sanctuary cities etc, showing her complete disregard for the constitution and american citizens ",neu,neu,neu,neu,neu
"trees require too much water and the roots impact sewer lines  food and waste is needed in our garbage to promote the breakdown of garbage in our landfills  i will put solar panels in when the lightweight, as thin as a piece of tinfoil, inexpensive panels become available ",neu,neu,neu,neu,neu
i would like to see the commuter cars china has that are small battery powered cars promoted ,neu,pos,pos,pos,pos
programs that help residents and commercial owners reduce water use ,neu,pos,pos,pos,pos
i do my own part  all other citizens and businesses should do their own part as best they can ,neu,neu,neu,neu,neu
my wife and i are both handicapped seniors,neu,neu,neu,pos,neu
i live in barrio viejo and would love to see all of the above  we need sidewalks walking paths and shade  a community garden with rentable plots like in other cities would be welcomed ,pos,pos,pos,pos,pos
i would like to make a green space in the facinity of my own home and take responsibility into my own hands,pos,pos,pos,pos,pos
i will vote for whomever has the strongest most intelligent approach to preparing us for environmental disaster before it happens ,pos,pos,pos,pos,pos
"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",pos,neg,pos,pos,pos
water is a much bigger problem than this survey really allowed for  please take into account the reality of our overuse of water and the decreasing availability of it there wont be more for us to take eg from the colorado,pos,pos,pos,pos,pos
"i m not suggesting just the low hanging fruit, but do celebrate and publicize any successes  tucson is a complex community with residents of many backgrounds, levels of education, age, income, ethnicity and other variables ",neu,neu,neu,neu,neu
"sadly, the whole country is polarized with some people rejecting climate science  the city s effort will need to be nuanced and inclusive  good luck   ",neu,neu,neu,neu,neu
"hiring and training landscape crews that know how to properly prune native trees and shrubs, maintain native landscape and identify native plants ",pos,pos,pos,pos,pos
thank you for implementing this! i am very appreciative! i look forward in getting involved ,pos,pos,pos,pos,pos
"common sense is hard to find  reuse phoenix waste water, plant trees, harvest sun and rain, electrify bus routes  no batteries  don t put on a super hero cape and roll out disastrous policies in the name of the environment ",neu,pos,pos,pos,pos
why do hoa s have more authority than the city ,neu,neu,neu,pos,neu
thank you for the survey ,pos,pos,pos,pos,pos
thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,pos,pos,pos,pos,pos
"keep using social media to promote existing cot rebate and other programs, it s an easy way to get the word out  thank you for planning for our future  people and planet   not profit!",pos,pos,pos,pos,pos
gratitude for the survey and the efforts of mayor and council ,pos,pos,neu,pos,pos
